Dates,Prices_training,trained_values,Data_training_VIX,Data_training_MOVE,Data_training_EURUSD,Data_training_HY,Data_training_BBB,Data_training_AA,Data_training_Liquidity,Data_training_Spread,Data_training_FEDFUNDS,Prices_prediction,Predicted_values,Data_prediction_VIX,Data_prediction_MOVE,Data_prediction_EURUSD,Data_prediction_HY,Data_prediction_BBB,Data_prediction_AA,Data_prediction_Liquidity,Data_prediction_Spread,Data_prediction_FEDFUNDS,Combined Prices
2010-09-18,114.81999969482422,0.0,-0.2909428916874332,-0.44102409773264684,-0.08007429461980675,-0.16826691824697634,0.08690033134347099,-0.20748379002953976,0.39350380119599304,-0.7884819859206185,0.4132650612857719,,,,,,,,,,,,114.81999969482422
2010-09-25,114.61000061035156,0.0,-0.21940717057780862,-0.2730141901487835,0.05347125285587786,-0.04154915438355797,0.08279251551813245,-0.15984732933451323,0.6551388534727737,-1.022668606299795,0.374515626614093,,,,,,,,,,,,114.61000061035156
2010-10-02,116.54000091552734,0.0,-0.4649167102770518,-0.7402631500778429,-0.059645166070180694,-0.17268335715664382,0.10449761060157824,-0.12179348658516267,0.4654592041123967,-1.0943487672683372,0.33387728665631256,,,,,,,,,,,,116.54000091552734
2010-10-09,117.69999694824219,0.0,-0.696749644426978,-0.20030615427969514,0.06983929543654377,-0.3120385607359654,-0.0031158533840989866,-0.29154434103374166,0.6014589296690142,-1.1788244514544632,0.2883051294021062,,,,,,,,,,,,117.69999694824219
2010-10-16,118.3499984741211,0.0,-0.7378671753348757,0.09850649211301087,-0.13605962782629577,-0.5451849783250712,-0.11576677684643386,-0.1884063801825683,0.6803414835138297,-0.668984169119348,0.23405740383996554,,,,,,,,,,,,118.3499984741211
2010-10-23,118.48999786376953,0.0,-0.4490717671659886,0.6086693836100495,-0.14674344795621383,-0.5471805565128192,-0.17566017469003936,-0.21639613301837823,0.8002066948274752,-0.5738171467230149,0.1619047253484054,,,,,,,,,,,,118.48999786376953
2010-10-30,122.72000122070312,0.0,-0.8608232384213197,-0.6645323653584853,0.051287603454046975,-0.7434278046098298,-0.3431229515001591,-0.46059340200857707,0.456922025860432,-0.3856418515637291,0.1920756465092175,,,,,,,,,,,,122.72000122070312
2010-11-06,120.19999694824219,0.0,-0.5627173086349516,0.43932806225560916,0.31337442661474024,-0.800835138878087,-0.4660787843234793,-0.506346813211814,0.5571478434803753,-0.6461962186749349,0.2243032010218995,,,,,,,,,,,,120.19999694824219
2010-11-13,120.29000091552734,0.0,-0.9286218390154648,0.18843885106597985,-0.14867625078103788,-0.8867757772706951,-0.5110107538092964,-0.5765679193283336,0.6256776804409173,-0.44053658977779325,0.25914572642180456,,,,,,,,,,,,120.29000091552734
2010-11-20,118.80000305175781,5.0,-0.3557774608953317,0.608108910217446,0.3382776719227678,-0.8643167373632671,-0.7238313467556462,-0.6590211617555335,0.6532402400960082,0.026206874963840335,0.2973665028220805,,,,,,,,,,,,118.80000305175781
